t,x,y,z,dx,dy,dz,xdes,ydes,zdes,phi,theta,psi,psides,v_des_x,v_des_y,v_des_z,ex,ey,ez
0.005771636962890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0028858144759557904,0.9999958360287359,0.5011543273925781,0.0,0.0,0.17453292519943295,0.3,0.029379513593376236,0.08761706360626294,0.11515223763609513,-0.0028858144759557904,-0.9999958360287359,-0.5011543273925781
0.013066768646240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0065333378435137885,0.9999786575205606,0.5026133537292481,0.0,0.0,0.17453292519943295,0.3,0.03757038513872867,0.11108579101832874,0.14591999711943324,-0.0065333378435137885,-0.9999786575205606,-0.5026133537292481
0.019554615020751953,0.0,0.0,0.0,0.0,0.0,0.0,0.009777151732959276,0.9999522025096953,0.5039109230041504,0.0,0.0,0.17453292519943295,0.3,0.03375117872879127,0.09906181930914573,0.13006691200787698,-0.009777151732959276,-0.9999522025096953,-0.5039109230041504
0.025777816772460938,0.0,0.0,0.0,0.0,0.0,0.0,0.012888551529779049,0.9999169391701814,0.5051555633544922,0.0,0.0,0.17453292519943295,0.3,0.0326826536184535,0.09526760136180347,0.12503272595146706,-0.012888551529779049,-0.9999169391701814,-0.5051555633544922
0.03294801712036133,0.0,0.0,0.0,0.0,0.0,0.0,0.016473263415306433,0.9998643065898742,0.5065896034240722,0.0,0.0,0.17453292519943295,0.3,0.038062407474025915,0.11009093215853971,0.14441999086334462,-0.016473263415306433,-0.9998643065898742,-0.5065896034240722
0.03986382484436035,0.0,0.0,0.0,0.0,0.0,0.0,0.019930592686271415,0.9998013660098559,0.5079727649688721,0.0,0.0,0.17453292519943295,0.3,0.037087914489451146,0.10648741834966156,0.13963217950405404,-0.019930592686271415,-0.9998013660098559,-0.5079727649688721
0.046247005462646484,0.0,0.0,0.0,0.0,0.0,0.0,0.023121442110885963,0.999732663723014,0.5092494010925293,0.0,0.0,0.17453292519943295,0.3,0.03455050889349915,0.09854294896523028,0.12916497051078943,-0.023121442110885963,-0.999732663723014,-0.5092494010925293
0.05281472206115723,0.0,0.0,0.0,0.0,0.0,0.0,0.026404291947704377,0.9996513459035307,0.5105629444122315,0.0,0.0,0.17453292519943295,0.3,0.0358860636721983,0.10166270535702629,0.133203008294125,-0.026404291947704377,-0.9996513459035307,-0.5105629444122315
0.05910611152648926,0.0,0.0,0.0,0.0,0.0,0.0,0.029548754094498645,0.999563340229854,0.5118212223052978,0.0,0.0,0.17453292519943295,0.3,0.03468446551295574,0.09763315768142608,0.12787792429286307,-0.029548754094498645,-0.999563340229854,-0.5118212223052978
0.06532573699951172,0.0,0.0,0.0,0.0,0.0,0.0,0.03265706100869132,0.9994666159338563,0.5130651473999024,0.0,0.0,0.17453292519943295,0.3,0.034589583484977766,0.0967608391584514,0.12669251276421287,-0.03265706100869132,-0.9994666159338563,-0.5130651473999024
0.0727074146270752,0.0,0.0,0.0,0.0,0.0,0.0,0.036345700380976786,0.9993392767543045,0.514541482925415,0.0,0.0,0.17453292519943295,0.3,0.04147539987296369,0.11517803172552765,0.15074876625056902,-0.036345700380976786,-0.9993392767543045,-0.514541482925415
0.07893943786621094,0.0,0.0,0.0,0.0,0.0,0.0,0.03945947169040483,0.9992211717602435,0.5157878875732422,0.0,0.0,0.17453292519943295,0.3,0.0353170840449827,0.09748029326838853,0.12754561271950768,-0.03945947169040483,-0.9992211717602435,-0.5157878875732422
0.08538079261779785,0.0,0.0,0.0,0.0,0.0,0.0,0.042677430496466814,0.9990889034146156,0.5170761585235596,0.0,0.0,0.17453292519943295,0.3,0.03682501063623204,0.10101077789339999,0.13212411756403622,-0.042677430496466814,-0.9990889034146156,-0.5170761585235596
0.09159207344055176,0.0,0.0,0.0,0.0,0.0,0.0,0.04578003056990863,0.9989515447713259,0.5183184146881104,0.0,0.0,0.17453292519943295,0.3,0.03580861489635907,0.0976402291988248,0.12767886669994608,-0.04578003056990863,-0.9989515447713259,-0.5183184146881104
0.09786558151245117,0.0,0.0,0.0,0.0,0.0,0.0,0.04891326550136584,0.9988030298602387,0.5195731163024903,0.0,0.0,0.17453292519943295,0.3,0.0364722570187392,0.09885977873289362,0.12923787572500933,-0.04891326550136584,-0.9988030298602387,-0.5195731163024903
0.10452723503112793,0.0,0.0,0.0,0.0,0.0,0.0,0.05223982787739917,0.998634567989382,0.5209054470062255,0.0,0.0,0.17453292519943295,0.3,0.039072645102805975,0.10524747350516776,0.1375498962193655,-0.05223982787739917,-0.998634567989382,-0.5209054470062255
0.11120009422302246,0.0,0.0,0.0,0.0,0.0,0.0,0.055571404863566126,0.9984547155286961,0.5222400188446045,0.0,0.0,0.17453292519943295,0.3,0.039483409901473907,0.10569562480705597,0.1380987681970227,-0.055571404863566126,-0.9984547155286961,-0.5222400188446045
0.11811494827270508,0.0,0.0,0.0,0.0,0.0,0.0,0.05902315015808666,0.9982566141756417,0.523622989654541,0.0,0.0,0.17453292519943295,0.3,0.04128596103049514,0.10981878548572528,0.143448419613637,-0.05902315015808666,-0.9982566141756417,-0.523622989654541
0.12476706504821777,0.0,0.0,0.0,0.0,0.0,0.0,0.062343077344632236,0.9980547784100836,0.5249534130096436,0.0,0.0,0.17453292519943295,0.3,0.040060413100226594,0.1059135320014846,0.1383143434730274,-0.062343077344632236,-0.9980547784100836,-0.5249534130096436
0.1315464973449707,0.0,0.0,0.0,0.0,0.0,0.0,0.06572583509908944,0.9978377195719389,0.5263092994689942,0.0,0.0,0.17453292519943295,0.3,0.041183766956481085,0.10821735224674697,0.14129063646000045,-0.06572583509908944,-0.9978377195719389,-0.5263092994689942
0.13832306861877441,0.0,0.0,0.0,0.0,0.0,0.0,0.0691064105614133,0.9976092942727215,0.5276646137237548,0.0,0.0,0.17453292519943295,0.3,0.041522961646383846,0.10844713681772954,0.14156026639910518,-0.0691064105614133,-0.9976092942727215,-0.5276646137237548
0.14508843421936035,0.0,0.0,0.0,0.0,0.0,0.0,0.07248060455074848,0.9973698220639915,0.5290176868438721,0.0,0.0,0.17453292519943295,0.3,0.04180997150141705,0.10854131221025018,0.14165480366918062,-0.07248060455074848,-0.9973698220639915,-0.5290176868438721
0.15171408653259277,0.0,0.0,0.0,0.0,0.0,0.0,0.07578431361110571,0.9971242338898868,0.5303428173065186,0.0,0.0,0.17453292519943295,0.3,0.04128795366768453,0.10656113170282802,0.1390450653333179,-0.07578431361110571,-0.9971242338898868,-0.5303428173065186
0.15858888626098633,0.0,0.0,0.0,0.0,0.0,0.0,0.07921137384492055,0.99685784255008,0.5317177772521973,0.0,0.0,0.17453292519943295,0.3,0.04320846752261926,0.11084847710442695,0.14461390799048449,-0.07921137384492055,-0.99685784255008,-0.5317177772521973
0.16501951217651367,0.0,0.0,0.0,0.0,0.0,0.0,0.08241616880777777,0.9965980007601098,0.5330039024353027,0.0,0.0,0.17453292519943295,0.3,0.040739024587771046,0.1039309732637342,0.13556865734034573,-0.08241616880777777,-0.9965980007601098,-0.5330039024353027
0.17175984382629395,0.0,0.0,0.0,0.0,0.0,0.0,0.08577439493135842,0.9963145854468655,0.5343519687652588,0.0,0.0,0.17453292519943295,0.3,0.04305545965956497,0.10920378375628928,0.14242574700901134,-0.08577439493135842,-0.9963145854468655,-0.5343519687652588
0.17881274223327637,0.0,0.0,0.0,0.0,0.0,0.0,0.08928730708756973,0.9960059120271576,0.5357625484466553,0.0,0.0,0.17453292519943295,0.3,0.04544057126503228,0.11455943800452772,0.1493899951250926,-0.08928730708756973,-0.9960059120271576,-0.5357625484466553
