t,x,y,z,dx,dy,dz,xdes,ydes,zdes,phi,theta,psi,psides,v_des_x,v_des_y,v_des_z,ex,ey,ez
0.006308078765869141,0.0,0.0,-0.2,0.0,0.0,0.02,0.003154034153558573,0.9999950260219088,0.5012616157531739,0.0,0.0,0.7330382858376184,0.3,0.03213832868977672,0.095782312915136,0.16178141958003123,-0.003154034153558573,-0.9999950260219088,-0.7012616157531739
0.01372981071472168,0.0,0.0,-0.2,0.0,0.0,0.02,0.00686485143717393,0.9999764366297565,0.5027459621429443,0.0,0.0,0.7330382858376184,0.3,0.0382622784547415,0.11304506154666473,0.18727880458287713,-0.00686485143717393,-0.9999764366297565,-0.7027459621429444
0.02123737335205078,0.0,0.0,-0.2,0.0,0.0,0.02,0.01061848712281451,0.9999436222763874,0.5042474746704102,0.0,0.0,0.7330382858376184,0.3,0.039157093091232,0.11471222501855076,0.18969154139789296,-0.01061848712281451,-0.9999436222763874,-0.7042474746704102
0.029162168502807617,0.0,0.0,-0.2,0.0,0.0,0.02,0.014580567580992552,0.9998936978744372,0.5058324337005615,0.0,0.0,0.7330382858376184,0.3,0.04183188501649194,0.12148672166090485,0.19965567707689064,-0.014580567580992552,-0.9998936978744372,-0.7058324337005615
0.036093950271606445,0.0,0.0,-0.2,0.0,0.0,0.02,0.018045995521906798,0.9998371577640147,0.5072187900543212,0.0,0.0,0.7330382858376184,0.3,0.03696885902576475,0.10656827945547381,0.1775526696458312,-0.018045995521906798,-0.9998371577640147,-0.7072187900543212
0.04211759567260742,0.0,0.0,-0.2,0.0,0.0,0.02,0.021057241369559426,0.999778271711235,0.5084235191345214,0.0,0.0,0.7330382858376184,0.3,0.03241016194530922,0.09283582318925615,0.15722053292508248,-0.021057241369559426,-0.999778271711235,-0.7084235191345214
0.04877305030822754,0.0,0.0,-0.2,0.0,0.0,0.016666666666666666,0.024384108104296875,0.9997026634314615,0.5097546100616455,0.0,0.0,0.7330382858376184,0.3,0.03615598196163163,0.1028519853199334,0.16879720688274047,-0.024384108104296875,-0.9997026634314615,-0.7097546100616454
0.054467201232910156,0.0,0.0,-0.2,0.0,0.0,0.013333333333333334,0.027230234355055977,0.9996291884178696,0.510893440246582,0.0,0.0,0.7330382858376184,0.3,0.031186483812903013,0.08819961626153086,0.14388650029060673,-0.027230234355055977,-0.9996291884178696,-0.7108934402465821
0.059993743896484375,0.0,0.0,-0.2,0.0,0.0,0.01,0.029992373558108826,0.9995501275715745,0.5119987487792969,0.0,0.0,0.7330382858376184,0.3,0.0305062127678283,0.0857945044460373,0.13708715085872872,-0.029992373558108826,-0.9995501275715745,-0.7119987487792969
0.06546640396118164,0.0,0.0,-0.2,0.0,0.0,0.01,0.03272735689393638,0.9994643165770036,0.5130932807922364,0.0,0.0,0.7330382858376184,0.3,0.03044154644777072,0.08514484011352876,0.13610408192278747,-0.03272735689393638,-0.9994643165770036,-0.7130932807922363
0.07140254974365234,0.0,0.0,-0.2,0.0,0.0,0.01,0.035693691327199704,0.9993627771732538,0.5142805099487304,0.0,0.0,0.7330382858376184,0.3,0.03329326292444982,0.09257499025424398,0.1470854801560695,-0.035693691327199704,-0.9993627771732538,-0.7142805099487304
0.07742619514465332,0.0,0.0,-0.2,0.0,0.0,0.01,0.0387034283850462,0.999250741621563,0.5154852390289306,0.0,0.0,0.7330382858376184,0.3,0.034065474096073196,0.09416449325407956,0.1494169085235138,-0.0387034283850462,-0.999250741621563,-0.7154852390289306
0.0833885669708252,0.0,0.0,-0.2,0.0,0.0,0.01,0.041682204219411934,0.9991309192750524,0.516677713394165,0.0,0.0,0.7330382858376184,0.3,0.033994533056897924,0.09342631771567436,0.14830351800680092,-0.041682204219411934,-0.9991309192750524,-0.7166777133941651
0.0908501148223877,0.0,0.0,-0.2,0.0,0.0,0.01,0.04540943707427025,0.998968459474371,0.5181700229644776,0.0,0.0,0.7330382858376184,0.3,0.042973696983604606,0.11726019524554424,0.1835564092611325,-0.04540943707427025,-0.998968459474371,-0.7181700229644776
0.09760499000549316,0.0,0.0,-0.2,0.0,0.0,0.01,0.048783125293181476,0.998809394572673,0.5195209980010986,0.0,0.0,0.7330382858376184,0.3,0.03925725899103466,0.10643452786711045,0.16751124680098073,-0.048783125293181476,-0.998809394572673,-0.7195209980010986
0.10390925407409668,0.0,0.0,-0.2,0.0,0.0,0.01,0.051931256815482205,0.9986506619261635,0.5207818508148193,0.0,0.0,0.7330382858376184,0.3,0.036946334833820066,0.09957731194993855,0.1573457336625011,-0.051931256815482205,-0.9986506619261635,-0.7207818508148194
0.11041617393493652,0.0,0.0,-0.2,0.0,0.0,0.01,0.055180046150673984,0.9984764206063204,0.5220832347869873,0.0,0.0,0.7330382858376184,0.3,0.03846207255535279,0.10303620300718268,0.1624469229842506,-0.055180046150673984,-0.9984764206063204,-0.7220832347869872
0.1163628101348877,0.0,0.0,-0.2,0.0,0.0,0.01,0.058148585877397595,0.9983079394457699,0.5232725620269776,0.0,0.0,0.7330382858376184,0.3,0.035424289795232974,0.09437885146822166,0.14962520415329358,-0.058148585877397595,-0.9983079394457699,-0.7232725620269775
0.1256093978881836,0.0,0.0,-0.2,0.0,0.0,0.01,0.0627634189609317,0.9980284330821114,0.5251218795776367,0.0,0.0,0.7330382858376184,0.3,0.05574576195205512,0.14726908534114783,0.22784526462479016,-0.0627634189609317,-0.9980284330821114,-0.7251218795776366
